bgR,bgG,bgB,Bgno,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,phone_TD_L,phone_TD_A,phone_TD_B
46,60,153,1,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,15.26408965,16.43366418,-36.62239023
50,49,50,2,0x3d3c3d,24.15121714,0.68378038,-0.484869159,0x32252c,14.30647988,8.425655622,-2.12945129,0x2d3035,17.91358009,0.285547276,-4.094571652,8.672687046,-2.787904807,2.079356038
71,150,69,3,0x519b4f,58.330714,-40.50240418,34.10943237,0x3b7e38,47.45622256,-38.23279275,33.25689312,0x499649,56.31955361,-41.52750909,34.68727635,32.94324025,-29.82333269,24.67188414
72,91,165,4,0x5264aa,43.81056198,13.82491511,-40.65830362,0x454d91,34.91640441,17.86807911,-40.21805392,0x4d5cb4,41.83455066,21.6132862,-49.91378647,24.06425406,12.31415987,-26.7102356
83,83,83,5,0x5c5c5c,38.9108389,0.005802828,-0.000866361,0x4b4448,28.94227574,3.851045134,-1.210267161,0x53545a,35.50932902,1.09003667,-3.781337739,19.67525068,-2.49476995,3.16268518
88,108,65,6,0x61744b,46.4032207,-15.48084738,21.31472659,0x505a3b,36.44233007,-10.57881012,18.05176604,0x5a6b47,43.15076509,-14.27373562,19.44014008,25.28371982,-7.040148836,19.34346589
91,59,107,7,0x644573,33.96225806,23.41951659,-22.21087132,0x50345f,25.69346046,23.21158418,-22.45894269,0x5f3d76,31.35493431,28.35519829,-28.18593658,16.93031878,18.91364554,-11.54879049
94,123,156,8,0x6682a1,53.70545898,-1.956721507,-20.1240403,0x566789,43.6537329,2.214103317,-21.2084622,0x607ba8,51.55717072,2.504878017,-27.65019949,31.60879123,-1.966633318,-10.3888054
100,190,171,9,0x6cc1af,73.09180957,-30.40096446,0.876639034,0x5aa294,62.22900845,-26.47398035,0.064705899,0x66beb8,72.20695459,-28.14609746,-5.352479319,44.80276412,-20.67342206,3.798102272
115,80,64,10,0x7a594a,40.85877436,11.9793789,14.95247699,0x65463c,32.3644529,12.37174226,11.96866537,0x765146,37.7925301,14.7622999,13.08945494,22.52566422,9.553631391,12.81628107
122,122,121,11,0x818180,54.32268858,-0.184351483,0.522772979,0x6c6667,43.97367616,2.583174166,0.287111223,0x7d7c84,52.74459149,2.121362617,-3.978622006,30.72530657,-0.484565938,1.749844646
130,129,177,12,0x8988b5,58.59428851,10.51916413,-23.81676635,0x766d9b,48.78080436,13.78706746,-24.1840471,0x8681c0,57.06567621,16.46366013,-32.61238171,34.48233437,8.223745748,-14.87055251
160,188,60,13,0xa5bf46,73.97378438,-26.32536568,57.54288147,0x8c9f29,62.52076299,-22.90277981,57.6760033,0xa3bb3b,72.61374052,-25.78181261,60.84714002,44.97740054,-15.75929776,46.86712873
161,161,161,14,0xa6a6a6,68.63502581,0.008943999,-0.001335337,0x8e888a,57.79049419,2.698040985,-0.256329082,0xa4a2ae,67.79810018,3.042995622,-5.768803249,41.18961891,-0.209117764,2.030795563
177,44,56,15,0xb53742,42.51301674,52.81210404,23.78612718,0x9c2a32,35.4962522,49.21203717,25.34967429,0xb53242,41.74453577,54.88643384,22.97984287,23.41262743,37.44194674,17.15070937
187,82,148,16,0xbf5b9a,52.93078194,48.34766885,-16.03855585,0xa44881,44.50576959,46.05711062,-14.41293117,0xc055a2,52.31002515,53.11412825,-21.82970521,30.61382791,34.37253519,-9.177100049
194,84,98,17,0xc55d6a,52.82663342,43.51221551,12.6423232,0xac4759,44.21220949,44.46617137,11.06202252,0xc7566c,51.7579756,47.96817821,10.12335574,31.31623305,33.48978995,14.81725699
195,151,130,18,0xc69c89,68.34121108,12.53287027,16.41920241,0xad7f71,57.78199945,16.21252666,14.78666371,0xc7978b,67.12169055,16.45166796,13.32944936,41.74800301,10.20374185,16.00373604
201,201,201,19,0xcccccc,82.4242171,0.010401204,-0.001552897,0xb2acae,71.36300019,2.423145371,-0.144987064,0xcfcbda,82.85252204,3.938713657,-6.886673175,51.5533705,-0.226315569,2.455484518
217,122,37,20,0xdb8130,62.8031057,28.50739267,57.72845842,0xc26623,53.23649988,32.76901856,53.92474708,0xe07a2b,61.771963,34.06928483,59.42269033,37.48712391,26.47778678,45.11749402
230,163,42,21,0xe7a835,73.46003812,12.83250396,66.1053807,0xcc891a,62.79081426,17.1984926,64.87891672,0xeda22c,72.67039325,17.67080188,68.99983877,45.41733472,14.05015827,52.82030888
238,200,27,22,0xefcb27,82.79449577,-2.619359059,78.91637851,0xd4aa00,71.72807924,2.00251253,79.47601408,0xf4c900,82.71092476,0.093396254,85.81892016,51.57869748,0.748050481,60.97980296
243,242,237,23,0xf4f3ee,95.81632548,-0.485813332,2.321445107,0xd8d1ce,84.66548038,2.027715988,2.190262574,0xfcf5ff,97.45216743,3.934836119,-4.39281478,61.76909549,-0.868615052,4.339650999
