X,Y,Z,,,,
0.3842,0.3957,0.375,,,,
0.3816,0.395,0.3657,,,,
0.3809,0.3939,0.3701,,,,
0.3776,0.3909,0.369,,,,
0.3789,0.3946,0.3665,,,,
0.3841,0.396,0.3648,,,,
0.3796,0.3904,0.3683,,,,
0.3828,0.3946,0.367,,,,
0.378,0.387,0.3657,,,,
0.3853,0.3985,0.3718,,,,
0.384,0.3979,0.369,,,,
0.3824,0.3945,0.3648,,,,
0.3838,0.3979,0.365,,,,
0.3829,0.394,0.3776,,,,
0.3794,0.3914,0.3703,,,,
0.3812,0.3934,0.3701,,,,
0.3877,0.3989,0.3704,,,,
0.3822,0.3912,0.363,,,,
0.3802,0.3946,0.3623,,,,
0.3821,0.3955,0.367,,,,
0.3858,0.3975,0.3721,,,,
0.3801,0.3906,0.3729,,,,
0.3765,0.3917,0.3623,,,,
0.3811,0.3934,0.3653,,,,
0.3857,0.3962,0.3684,,,,
0.381,0.394,0.371,,,,
0.3821,0.3918,0.3765,,,,
0.3796,0.3914,0.3691,,,,
0.3843,0.3947,0.3727,,,,
0.3832,0.3932,0.3716,,,,
0.3835,0.3945,0.3725,,,,
0.3873,0.399,0.375,,,,
0.3821,0.3949,0.3701,,,,
0.3849,0.3966,0.3727,,,,
0.3816,0.39,0.3716,,,,
0.3833,0.3954,0.3707,,,,
0.3836,0.3964,0.3668,,,,
0.3855,0.3952,0.3694,,,,
0.3852,0.3984,0.3773,,,,
0.3793,0.3929,0.3676,,,,
0.3862,0.3974,0.3679,,,,
0.3824,0.3935,0.3715,,,,
0.3857,0.3964,0.3714,,,,
0.386,0.3947,0.3696,,,,
0.3827,0.3925,0.3652,,,,
0.3813,0.394,0.3721,,,,
0.3875,0.399,0.3727,,,,
0.3842,0.3944,0.3713,,,,
0.3853,0.3943,0.3707,,,,
0.3846,0.3975,0.3692,,,,
0.3802,0.3912,0.3725,,,,
0.385,0.3961,0.3707,,,,
0.3802,0.3914,0.3666,,,,
0.3833,0.3929,0.3679,,,,
0.3808,0.3913,0.366,,,,
0.3877,0.3983,0.3698,,,,
0.3813,0.3937,0.367,,,,
0.3812,0.3916,0.3702,,,,
0.3831,0.394,0.372,,,,
0.3821,0.3913,0.3729,,,,
0.3836,0.397,0.372,,,,
0.3844,0.3942,0.3724,,,,
0.382,0.3937,0.3668,,,,
0.3869,0.3971,0.3732,,,,
0.3901,0.3983,0.3781,,,,
0.3854,0.3955,0.3723,,,,
0.3874,0.3962,0.3751,,,,
0.385,0.3944,0.3739,,,,
0.3879,0.3967,0.3676,,,,
0.3847,0.3957,0.3712,,,,
0.3845,0.3966,0.368,,,,
0.3841,0.394,0.3785,,,,
0.3835,0.3956,0.3732,,,,
0.3821,0.3941,0.3747,,,,
0.3857,0.3958,0.3766,,,,
0.3832,0.3931,0.3722,,,,
0.3846,0.3967,0.3762,,,,
0.3869,0.3985,0.372,,,,
0.3864,0.3944,0.376,,,,
0.3858,0.3968,0.3715,,,,
0.3852,0.3941,0.3719,,,,
0.3801,0.3933,0.3673,,,,
0.3855,0.3976,0.3728,,,,
0.3865,0.3981,0.3742,,,,
0.381,0.3921,0.3684,,,,
0.3812,0.3933,0.3719,,,,
0.3831,0.3935,0.3688,,,,
0.3811,0.3924,0.3722,,,,
0.3791,0.3912,0.3686,,,,
0.3851,0.3931,0.3679,,,,
0.3781,0.3926,0.3579,,,,
0.384,0.4018,0.3672,,,,
0.3832,0.4009,0.3636,,,,
0.3849,0.3991,0.3709,,,,
0.3798,0.3963,0.3688,,,,
0.3862,0.3989,0.3667,,,,
0.3797,0.3976,0.3619,,,,
0.3841,0.3997,0.3648,,,,
0.3818,0.3991,0.3687,,,,
,,,,0.3871,0.4018,0.366
